# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_camera|resource|OneUiDrawableCatalog.entries[name=ic_oui_camera]|mapped
ic_oui_camera_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_camera_outline]|mapped
ic_oui_car|resource|OneUiDrawableCatalog.entries[name=ic_oui_car]|mapped
ic_oui_cat|resource|OneUiDrawableCatalog.entries[name=ic_oui_cat]|mapped
ic_oui_category_accessibility|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_accessibility]|mapped
ic_oui_category_accounts_backup|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_accounts_backup]|mapped
ic_oui_category_advanced_options|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_advanced_options]|mapped
ic_oui_category_apps|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_apps]|mapped
ic_oui_category_attic|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_attic]|mapped
ic_oui_category_battery|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_battery]|mapped
ic_oui_category_beans|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_beans]|mapped
ic_oui_category_berry|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_berry]|mapped
ic_oui_category_bixby_voice|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_bixby_voice]|mapped
ic_oui_category_budspro|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_budspro]|mapped
ic_oui_category_connections|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_connections]|mapped
ic_oui_category_display|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_display]|mapped
ic_oui_category_effect|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_effect]|mapped
ic_oui_category_functions|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_functions]|mapped
ic_oui_category_galaxy_bud_plus|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_galaxy_bud_plus]|mapped
ic_oui_category_galaxy_watch|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_galaxy_watch]|mapped
ic_oui_category_location|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_location]|mapped
ic_oui_category_lockscreen|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_lockscreen]|mapped
ic_oui_category_music|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_music]|mapped
ic_oui_category_my_routines|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_my_routines]|mapped
ic_oui_category_notifications|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_notifications]|mapped
ic_oui_category_security|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_security]|mapped
ic_oui_category_smartthings|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_smartthings]|mapped
ic_oui_category_sounds|resource|OneUiDrawableCatalog.entries[name=ic_oui_category_sounds]|mapped
ic_oui_change_image|resource|OneUiDrawableCatalog.entries[name=ic_oui_change_image]|mapped
ic_oui_charging|resource|OneUiDrawableCatalog.entries[name=ic_oui_charging]|mapped
ic_oui_checkbox_checked|resource|OneUiDrawableCatalog.entries[name=ic_oui_checkbox_checked]|mapped
ic_oui_checkbox_checked_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_checkbox_checked_outline]|mapped
ic_oui_checkbox_unchecked|resource|OneUiDrawableCatalog.entries[name=ic_oui_checkbox_unchecked]|mapped
ic_oui_clear|resource|OneUiDrawableCatalog.entries[name=ic_oui_clear]|mapped
ic_oui_clear_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_clear_outline]|mapped
ic_oui_clear_storage|resource|OneUiDrawableCatalog.entries[name=ic_oui_clear_storage]|mapped
ic_oui_clear_storage_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_clear_storage_outline]|mapped
ic_oui_clipboard|resource|OneUiDrawableCatalog.entries[name=ic_oui_clipboard]|mapped
ic_oui_close|resource|OneUiDrawableCatalog.entries[name=ic_oui_close]|mapped
ic_oui_color_adjustment|resource|OneUiDrawableCatalog.entries[name=ic_oui_color_adjustment]|mapped
ic_oui_color_inversion|resource|OneUiDrawableCatalog.entries[name=ic_oui_color_inversion]|mapped
ic_oui_color_mix_hue|resource|OneUiDrawableCatalog.entries[name=ic_oui_color_mix_hue]|mapped
ic_oui_color_mix_luminance|resource|OneUiDrawableCatalog.entries[name=ic_oui_color_mix_luminance]|mapped
ic_oui_color_mix_saturation|resource|OneUiDrawableCatalog.entries[name=ic_oui_color_mix_saturation]|mapped
ic_oui_community|resource|OneUiDrawableCatalog.entries[name=ic_oui_community]|mapped
ic_oui_community_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_community_outline]|mapped
ic_oui_compose|resource|OneUiDrawableCatalog.entries[name=ic_oui_compose]|mapped
ic_oui_compose_edit|resource|OneUiDrawableCatalog.entries[name=ic_oui_compose_edit]|mapped
ic_oui_compose_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_compose_outline]|mapped
ic_oui_compressed|resource|OneUiDrawableCatalog.entries[name=ic_oui_compressed]|mapped
ic_oui_compressed_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_compressed_outline]|mapped
ic_oui_confirm_before_next_action|resource|OneUiDrawableCatalog.entries[name=ic_oui_confirm_before_next_action]|mapped
ic_oui_contact|resource|OneUiDrawableCatalog.entries[name=ic_oui_contact]|mapped
ic_oui_contact_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_contact_outline]|mapped
ic_oui_context|resource|OneUiDrawableCatalog.entries[name=ic_oui_context]|mapped
ic_oui_contrast|resource|OneUiDrawableCatalog.entries[name=ic_oui_contrast]|mapped
ic_oui_control_device|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_device]|mapped
ic_oui_control_pause|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_pause]|mapped
ic_oui_control_pause_circle_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_pause_circle_filled]|mapped
ic_oui_control_play|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_play]|mapped
ic_oui_control_play_circle_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_play_circle_filled]|mapped
ic_oui_control_stop|resource|OneUiDrawableCatalog.entries[name=ic_oui_control_stop]|mapped
ic_oui_copy|resource|OneUiDrawableCatalog.entries[name=ic_oui_copy]|mapped
ic_oui_copy_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_copy_outline]|mapped
ic_oui_coupon|resource|OneUiDrawableCatalog.entries[name=ic_oui_coupon]|mapped
ic_oui_create_folder|resource|OneUiDrawableCatalog.entries[name=ic_oui_create_folder]|mapped
ic_oui_creatures|resource|OneUiDrawableCatalog.entries[name=ic_oui_creatures]|mapped
ic_oui_creatures_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_creatures_outline]|mapped
ic_oui_credit_card|resource|OneUiDrawableCatalog.entries[name=ic_oui_credit_card]|mapped
ic_oui_credit_card_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_credit_card_outline]|mapped
ic_oui_crop_bottom_left|resource|OneUiDrawableCatalog.entries[name=ic_oui_crop_bottom_left]|mapped
ic_oui_crop_bottom_right|resource|OneUiDrawableCatalog.entries[name=ic_oui_crop_bottom_right]|mapped
ic_oui_crop_to_fit|resource|OneUiDrawableCatalog.entries[name=ic_oui_crop_to_fit]|mapped
ic_oui_crop_top_left|resource|OneUiDrawableCatalog.entries[name=ic_oui_crop_top_left]|mapped
ic_oui_crop_top_right|resource|OneUiDrawableCatalog.entries[name=ic_oui_crop_top_right]|mapped
ic_oui_crown|resource|OneUiDrawableCatalog.entries[name=ic_oui_crown]|mapped
ic_oui_crown_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_crown_outline]|mapped
ic_oui_current_location|resource|OneUiDrawableCatalog.entries[name=ic_oui_current_location]|mapped
ic_oui_current_location_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_current_location_outline]|mapped
ic_oui_cursor_select_handle_left|resource|OneUiDrawableCatalog.entries[name=ic_oui_cursor_select_handle_left]|mapped
ic_oui_cursor_select_handle_middle|resource|OneUiDrawableCatalog.entries[name=ic_oui_cursor_select_handle_middle]|mapped
ic_oui_cursor_select_handle_right|resource|OneUiDrawableCatalog.entries[name=ic_oui_cursor_select_handle_right]|mapped
ic_oui_cycling|resource|OneUiDrawableCatalog.entries[name=ic_oui_cycling]|mapped
ic_oui_daily_hunt|resource|OneUiDrawableCatalog.entries[name=ic_oui_daily_hunt]|mapped
ic_oui_dark|resource|OneUiDrawableCatalog.entries[name=ic_oui_dark]|mapped
ic_oui_dark_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_dark_outline]|mapped
ic_oui_decline|resource|OneUiDrawableCatalog.entries[name=ic_oui_decline]|mapped
ic_oui_delete|resource|OneUiDrawableCatalog.entries[name=ic_oui_delete]|mapped
ic_oui_delete_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_delete_outline]|mapped
ic_oui_device|resource|OneUiDrawableCatalog.entries[name=ic_oui_device]|mapped
ic_oui_device_mobile_disconnect|resource|OneUiDrawableCatalog.entries[name=ic_oui_device_mobile_disconnect]|mapped
ic_oui_device_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_device_outline]|mapped
ic_oui_device_tablet_disconnect|resource|OneUiDrawableCatalog.entries[name=ic_oui_device_tablet_disconnect]|mapped
ic_oui_devices|resource|OneUiDrawableCatalog.entries[name=ic_oui_devices]|mapped
ic_oui_dialing_keyboard|resource|OneUiDrawableCatalog.entries[name=ic_oui_dialing_keyboard]|mapped
ic_oui_diamond|resource|OneUiDrawableCatalog.entries[name=ic_oui_diamond]|mapped
ic_oui_digital_wellbeing|resource|OneUiDrawableCatalog.entries[name=ic_oui_digital_wellbeing]|mapped
ic_oui_disable|resource|OneUiDrawableCatalog.entries[name=ic_oui_disable]|mapped
ic_oui_discord|resource|OneUiDrawableCatalog.entries[name=ic_oui_discord]|mapped
ic_oui_discord_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_discord_outline]|mapped
ic_oui_do_not_disturb|resource|OneUiDrawableCatalog.entries[name=ic_oui_do_not_disturb]|mapped
ic_oui_do_not_disturb_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_do_not_disturb_outline]|mapped
ic_oui_document|resource|OneUiDrawableCatalog.entries[name=ic_oui_document]|mapped
ic_oui_document_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_document_outline]|mapped
ic_oui_dog|resource|OneUiDrawableCatalog.entries[name=ic_oui_dog]|mapped
ic_oui_dog_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_dog_outline]|mapped
ic_oui_dolby_atmos|resource|OneUiDrawableCatalog.entries[name=ic_oui_dolby_atmos]|mapped
ic_oui_download|resource|OneUiDrawableCatalog.entries[name=ic_oui_download]|mapped
ic_oui_download_circle_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_download_circle_filled]|mapped
ic_oui_download_circle_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_download_circle_outline]|mapped
ic_oui_drawer|resource|OneUiDrawableCatalog.entries[name=ic_oui_drawer]|mapped
ic_oui_driving|resource|OneUiDrawableCatalog.entries[name=ic_oui_driving]|mapped
ic_oui_driving_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_driving_outline]|mapped
ic_oui_dual_app|resource|OneUiDrawableCatalog.entries[name=ic_oui_dual_app]|mapped
ic_oui_during_call|resource|OneUiDrawableCatalog.entries[name=ic_oui_during_call]|mapped
ic_oui_during_call_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_during_call_outline]|mapped
ic_oui_during_call_profile|resource|OneUiDrawableCatalog.entries[name=ic_oui_during_call_profile]|mapped
ic_oui_east|resource|OneUiDrawableCatalog.entries[name=ic_oui_east]|mapped
ic_oui_east_north_east|resource|OneUiDrawableCatalog.entries[name=ic_oui_east_north_east]|mapped
ic_oui_east_south_east|resource|OneUiDrawableCatalog.entries[name=ic_oui_east_south_east]|mapped
ic_oui_edge_light|resource|OneUiDrawableCatalog.entries[name=ic_oui_edge_light]|mapped
ic_oui_edge_panels|resource|OneUiDrawableCatalog.entries[name=ic_oui_edge_panels]|mapped
ic_oui_edit|resource|OneUiDrawableCatalog.entries[name=ic_oui_edit]|mapped
